m,trajs
"7.5-48,74,38,133,29,213+1","[[420, 1], [460, 0], [460, 3], [459, 0], [459, 1], [499, 0], [499, 0], [499, 4], [500, 4], [501, 1], [541, 0], [541, 1], [581, 4], [582, 0], [582, 1], [622, 4], [623, 0], [623, 0], [623, 4], [624, 1], [664, 0], [664, 4], [665, 0], [665, 1], [705, 4], [706, 0], [706, 1], [746, 4], [747, 0], [747, 1], [787, 4], [788, 0], [788, 4], [789, 0], [789, 4], [790, 1], [830, 0], [830, 4], [831, 4], [832, 0], [832, 4], [833, 0], [833, 4], [834, 0], [834, 1], [874, 0], [874, 4], [875, 4], [876, 0], [876, 4]]"
"7.5-48,74,38,133,29,213+2","[[877, 3], [876, 0], [876, 3], [875, 3], [874, 0], [874, 2], [834, 0], [834, 3], [833, 0], [833, 3]]"
"7.5-48,74,38,133,29,213+3",[]
"7.5-48,74,38,155,214,98+1","[[420, 1], [460, 0], [460, 3], [459, 0], [459, 1], [499, 0], [499, 0], [499, 4], [500, 4], [501, 1], [541, 0], [541, 4], [542, 1], [582, 0], [582, 1], [622, 4], [623, 0], [623, 0], [623, 1], [663, 4], [664, 0], [664, 4], [665, 0], [665, 1], [705, 4], [706, 0], [706, 4], [707, 1], [747, 0], [747, 1], [787, 4], [788, 0], [788, 4], [789, 0], [789, 4], [790, 1], [830, 0], [830, 4], [831, 4], [832, 0], [832, 4], [833, 0], [833, 4], [834, 0], [834, 1], [874, 0], [874, 4], [875, 4], [876, 0], [876, 4]]"
"7.5-48,74,38,155,214,98+2","[[877, 0], [877, 0], [877, 0], [877, 0], [877, 3], [876, 0], [876, 3], [875, 3], [874, 0], [874, 2], [834, 0], [834, 3], [833, 0], [833, 3], [832, 0], [832, 3], [831, 3], [830, 0], [830, 2], [790, 3], [789, 0], [789, 3], [788, 0], [788, 2], [748, 3], [747, 0], [747, 3], [746, 2], [706, 0], [706, 3], [705, 2], [665, 0], [665, 3], [664, 0], [664, 3], [663, 2]]"
"7.5-48,74,38,155,214,98+3",[]
"7.5-48,74,38,155,214,98+4",[]
"7.5-48,74,38,155,214,98+5",[]
"7.5-48,74,38,155,214,98+6",[]
"7.5-20,178,229,137,47,142+1","[[625, 0], [625, 0], [625, 0], [625, 0], [625, 0], [625, 0], [625, 0], [625, 0], [625, 0], [625, 0], [625, 0], [625, 0], [625, 0], [625, 0], [625, 0], [625, 0], [625, 0], [625, 0], [625, 0], [625, 0], [625, 0], [625, 0], [625, 0], [625, 0], [625, 0], [625, 0], [625, 0], [625, 0], [625, 0], [625, 0], [625, 0], [625, 0], [625, 0], [625, 0], [625, 0], [625, 0], [625, 0], [625, 0], [625, 0], [625, 0]]"
"7.5-20,178,229,137,47,142+2",[]
"7.5-20,178,229,137,47,142+3",[]
"7.5-20,178,229,137,47,142+4",[]
"7.5-20,178,229,137,47,142+5",[]
"7.5-20,178,229,137,47,142+6",[]
"7.5-20,178,229,137,47,142+7",[]
"7.6-32,50,51,210,96,61+1",[]
